,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,ticker
0,2017-10-30 06:00:00,6146.19,6119.72,6125.51,1509.56,9264581.24,6138.15,direct,,BTC
1,2017-10-30 07:00:00,6182.91,6106.66,6138.15,3004.65,18464865.56,6144.49,direct,,BTC
2,2017-10-30 08:00:00,6158.19,6129.69,6144.49,1902.58,11676913.58,6142.3,direct,,BTC
3,2017-10-30 09:00:00,6179.99,6140.49,6142.37,2877.98,17743100.96,6166.58,direct,,BTC
4,2017-10-30 10:00:00,6226.18,6162.45,6165.26,4422.82,27435093.31,6201.83,direct,,BTC
5,2017-10-30 11:00:00,6224.94,6156.52,6201.98,3338.71,20680712.99,6166.99,direct,,BTC
6,2017-10-30 12:00:00,6185.86,6119.34,6166.98,3818.9,23445923.98,6146.01,direct,,BTC
7,2017-10-30 13:00:00,6176.47,6144.18,6146.01,3424.47,21113025.9,6149.5,direct,,BTC
8,2017-10-30 14:00:00,6158.46,6039.0,6149.5,8991.32,54709448.69,6076.0,direct,,BTC
9,2017-10-30 15:00:00,6096.86,6018.97,6076.0,6172.6,37403475.11,6082.27,direct,,BTC
10,2017-10-30 16:00:00,6086.97,6054.06,6082.2,3065.74,18622466.51,6074.81,direct,,BTC
11,2017-10-30 17:00:00,6095.99,6045.01,6074.73,2891.78,17587561.36,6095.99,direct,,BTC
12,2017-10-30 18:00:00,6142.07,6106.54,6108.27,3104.2,19018707.65,6114.5,direct,,BTC
13,2017-10-30 19:00:00,6116.22,6070.78,6114.47,3084.87,18808365.29,6079.13,direct,,BTC
14,2017-10-30 20:00:00,6110.43,6076.51,6079.13,1868.41,11401782.46,6103.63,direct,,BTC
15,2017-10-30 21:00:00,6121.17,6087.09,6103.7,1692.11,10348250.97,6088.75,direct,,BTC
16,2017-10-30 22:00:00,6111.22,6086.79,6088.75,1808.24,11048160.38,6100.4,direct,,BTC
17,2017-10-30 23:00:00,6144.88,6091.01,6100.35,2715.76,16626920.43,6124.28,direct,,BTC
18,2017-10-31 00:00:00,6160.47,6123.14,6124.28,2876.29,17674986.11,6136.8,direct,,BTC
19,2017-10-31 01:00:00,6153.38,6125.34,6136.86,1699.73,10440286.51,6141.25,direct,,BTC
20,2017-10-31 02:00:00,6145.96,6121.04,6141.25,1535.0,9425572.67,6128.17,direct,,BTC
21,2017-10-31 03:00:00,6138.29,6125.44,6128.17,1283.76,7883235.99,6132.33,direct,,BTC
22,2017-10-31 04:00:00,6151.89,6129.26,6132.37,1130.2,6947362.84,6145.98,direct,,BTC
23,2017-10-31 05:00:00,6168.21,6145.53,6145.98,2108.7,12991973.23,6161.28,direct,,BTC
24,2017-10-31 06:00:00,6162.77,6108.37,6161.28,2423.99,14880107.79,6111.51,direct,,BTC
25,2017-10-31 07:00:00,6120.35,6090.83,6110.6,2120.69,12951810.99,6099.69,direct,,BTC
26,2017-10-31 08:00:00,6130.58,6094.22,6099.69,2079.52,12720620.67,6128.82,direct,,BTC
27,2017-10-31 09:00:00,6172.5,6128.67,6128.68,2242.92,13800839.25,6172.43,direct,,BTC
28,2017-10-31 10:00:00,6174.66,6155.37,6172.43,2090.85,12905697.74,6172.15,direct,,BTC
29,2017-10-31 11:00:00,6233.33,6170.39,6172.0,5440.81,33788896.39,6232.28,direct,,BTC
30,2017-10-31 12:00:00,6238.87,6195.14,6232.43,3632.7,22588947.97,6198.72,direct,,BTC
31,2017-10-31 13:00:00,6325.95,6198.6,6198.64,8996.59,56459514.97,6324.99,direct,,BTC
32,2017-10-31 14:00:00,6417.97,6310.25,6325.43,15663.35,99789656.11,6364.84,direct,,BTC
