,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
45000,2024-12-11 17:00:00,101095.6,99755.9,100687.18,3360.38,338102803.0,99868.39,direct,
45001,2024-12-11 18:00:00,100891.15,99700.24,99868.39,3824.34,383790122.25,100481.41,direct,
45002,2024-12-11 19:00:00,101284.91,100481.31,100481.41,3517.01,354974436.5,101253.93,direct,
45003,2024-12-11 20:00:00,101813.36,101160.12,101253.93,4612.18,467914028.37,101400.19,direct,
45004,2024-12-11 21:00:00,101634.69,100965.37,101400.19,2792.94,282820073.09,101614.97,direct,
45005,2024-12-11 22:00:00,101979.09,101252.92,101614.97,1517.8,154272435.81,101282.84,direct,
45006,2024-12-11 23:00:00,101584.46,101150.79,101282.84,1348.65,136691017.29,101203.07,direct,
45007,2024-12-12 00:00:00,101276.86,100650.64,101203.07,1451.77,146632041.72,100856.0,direct,
45008,2024-12-12 01:00:00,100937.15,100413.91,100856.0,1560.27,157106168.75,100583.18,direct,
45009,2024-12-12 02:00:00,101920.25,100582.46,100583.18,1729.79,175116790.57,101909.77,direct,
45010,2024-12-12 03:00:00,101920.58,100869.86,101909.77,1775.02,179988594.03,101095.07,direct,
45011,2024-12-12 04:00:00,101254.63,100633.1,101095.07,740.41,74707029.48,100744.57,direct,
45012,2024-12-12 05:00:00,101150.77,100663.61,100744.57,679.05,68523824.28,100665.6,direct,
45013,2024-12-12 06:00:00,100743.7,100444.27,100665.6,507.43,51044430.51,100616.73,direct,
45014,2024-12-12 07:00:00,100852.94,100525.4,100616.73,308.72,31073081.03,100532.08,direct,
45015,2024-12-12 08:00:00,101079.43,100502.38,100532.08,544.07,54874617.9,101014.85,direct,
45016,2024-12-12 09:00:00,101153.81,100836.92,101014.85,424.71,42892802.24,100846.59,direct,
45017,2024-12-12 10:00:00,100847.5,100507.45,100846.59,576.79,58045439.67,100619.64,direct,
45018,2024-12-12 11:00:00,100664.76,100204.19,100619.64,625.65,62809251.52,100384.5,direct,
45019,2024-12-12 12:00:00,100962.71,100381.46,100384.5,1086.42,109448932.56,100854.82,direct,
45020,2024-12-12 13:00:00,101575.82,100599.01,100854.82,3081.26,311460662.53,100944.52,direct,
45021,2024-12-12 14:00:00,101757.71,100643.69,100944.52,4926.9,498839166.53,101744.51,direct,
45022,2024-12-12 15:00:00,101910.84,100744.73,101744.51,5060.92,513297124.24,101859.26,direct,
45023,2024-12-12 16:00:00,102598.04,101510.2,101859.26,5197.76,530828405.94,101510.21,direct,
45024,2024-12-12 17:00:00,101754.15,101265.05,101510.21,2489.13,252692256.87,101663.99,direct,
45025,2024-12-12 18:00:00,101711.38,100853.21,101663.99,2060.62,208779064.39,100881.92,direct,
45026,2024-12-12 19:00:00,101072.13,99311.56,100881.92,4116.17,411815721.41,99487.64,direct,
45027,2024-12-12 20:00:00,100460.72,99476.92,99487.64,3963.33,395958370.34,100046.49,direct,
45028,2024-12-12 21:00:00,100140.89,99722.65,100046.49,1947.66,194601060.22,99789.79,direct,
45029,2024-12-12 22:00:00,100507.4,99539.66,99789.79,1336.63,133648033.8,100474.96,direct,
45030,2024-12-12 23:00:00,100499.47,99911.47,100474.96,1010.18,101218369.85,100041.98,direct,
45031,2024-12-13 00:00:00,100375.01,99968.82,100041.98,874.94,87671030.59,100115.0,direct,
45032,2024-12-13 01:00:00,100169.27,99241.66,100115.0,1199.65,119624204.93,99360.97,direct,
45033,2024-12-13 02:00:00,99704.94,99232.64,99360.97,1325.16,131810287.48,99505.64,direct,
45034,2024-12-13 03:00:00,99810.7,99504.11,99505.64,746.65,74429359.54,99743.71,direct,
45035,2024-12-13 04:00:00,100071.3,99672.95,99743.71,456.56,45597883.31,100018.54,direct,
45036,2024-12-13 05:00:00,100193.07,99878.87,100018.54,318.7,31882687.01,99921.91,direct,
45037,2024-12-13 06:00:00,100117.06,99723.37,99921.91,375.53,37530006.0,99723.37,direct,
45038,2024-12-13 07:00:00,100245.36,99517.84,99723.37,964.08,96396985.3,100161.84,direct,
45039,2024-12-13 08:00:00,100380.25,99915.47,100161.84,501.12,50201304.21,100288.72,direct,
45040,2024-12-13 09:00:00,100346.56,99912.32,100288.72,404.18,40466149.63,100112.69,direct,
45041,2024-12-13 10:00:00,100572.77,99934.79,100112.69,509.15,51063131.21,100483.07,direct,
45042,2024-12-13 11:00:00,100791.26,100321.27,100483.07,642.68,64594454.24,100364.47,direct,
45043,2024-12-13 12:00:00,100471.39,100142.17,100364.47,734.01,73626998.99,100296.42,direct,
45044,2024-12-13 13:00:00,100522.58,99940.4,100296.42,1007.88,100980955.65,100286.25,direct,
45045,2024-12-13 14:00:00,101055.14,100226.19,100286.25,2712.19,273053439.51,101055.14,direct,
45046,2024-12-13 15:00:00,101405.46,99717.92,101055.14,4098.46,413337230.59,99887.7,direct,
45047,2024-12-13 16:00:00,101275.72,99807.93,99887.7,3677.32,369719360.42,100984.17,direct,
45048,2024-12-13 17:00:00,101800.67,100780.54,100984.17,3572.19,361919562.27,101764.5,direct,
